2021-03-05 16:22:48.272 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-03-05 16:22:48.273 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.43]
2021-03-05 16:22:48.277 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.16] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.23]
2021-03-05 16:22:48.277 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.16] using APR version [1.6.3].
2021-03-05 16:22:48.277 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2021-03-05 16:22:48.278 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2021-03-05 16:22:49.336 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.0.2m  2 Nov 2017]
2021-03-05 16:22:49.416 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/template] - Initializing Spring embedded WebApplicationContext
2021-03-05 16:22:49.417 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2283 ms
2021-03-05 16:22:49.626 [main] INFO  com.zaxxer.hikari.HikariDataSource - fundTrade - Starting...
2021-03-05 16:22:49.796 [main] INFO  com.zaxxer.hikari.HikariDataSource - fundTrade - Start completed.
2021-03-05 16:22:49.796 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource - load a datasource named [fundTrade] success
2021-03-05 16:22:49.796 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource initial loaded [1] datasource,primary datasource named [fundTrade]
2021-03-05 16:22:50.433 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-03-05 16:22:50.719 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9999"]
2021-03-05 16:22:50.734 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9999 (http) with context path '/template'
2021-03-05 16:22:50.743 [main] INFO  o.s.SpringbootTemplateApplication - Started SpringbootTemplateApplication in 4.199 seconds (JVM running for 4.808)
2021-03-05 16:23:28.213 [http-nio-9999-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/template] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-03-05 16:23:28.214 [http-nio-9999-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-03-05 16:23:28.218 [http-nio-9999-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 4 ms
